feature,mean_abs_shap
s5_emg_mav_norm,0.004774255
s2_acc_z_rms_norm_lag2,0.0046171746
s7_acc_z_rms_norm_lag3,0.004612997
s2_gyro_x_rms,0.0045474647
s1_emg_mav_norm,0.004545772
s3_emg_mav_norm_rm5,0.0044345465
s6_acc_z_rms_norm_delta2,0.0044318084
s1_acc_z_rms_norm_lag3,0.004313707
loadshare_gyro_3,0.0043118624
s4_gyro_peak_angular_vel_norm_delta2,0.004273434
s4_acc_z_rms_norm_lag1,0.004224735
s3_emg_mav_norm,0.004143754
s5_emg_mav_norm_absd1,0.004074649
s7_gyro_peak_angular_vel_norm_lag4,0.0039799986
s8_gyro_peak_angular_vel_norm_lag4,0.003946277
s4_emg_mav_norm_delta1,0.003928293
s5_acc_z_rms_norm_lag3,0.0039050106
s8_acc_z_rms_norm_lag3,0.003899098
s4_gyro_peak_angular_vel_norm_ema5,0.0038842584
s5_gyro_peak_angular_vel_norm_lag4,0.003847871
s3_gyro_peak_angular_vel_norm_lag3,0.0038383838
s1_acc_z_rms_norm_lag4,0.0037876721
s8_acc_z_rms_norm_lag1,0.0037027362
sym_ratio_emg_26_rs5,0.003569938
s8_gyro_peak_angular_vel_norm_lag3,0.0035636183
s3_acc_z_rms_norm_lag2,0.003501176
s1_acc_z_rms_norm_absd1,0.0034884503
loadshare_gyro_8,0.0034747154
s2_acc_z_rms_norm_delta1,0.0034474577
s3_acc_z_rms_norm,0.003414718
s3_emg_mav_norm_absd1,0.0034048497
s7_emg_mav_norm_rm5,0.0033219748
sym_ratio_gyro_26,0.0033178313
s3_acc_z_rms_norm_lag1,0.0032747085
s7_acc_z_rms_norm_lag4,0.0031525246
s3_gyro_peak_angular_vel_norm_absd1,0.003085192
s6_gyro_peak_angular_vel_norm_ema5,0.0030297586
s3_emg_mav_norm_ema5,0.0030257583
s8_acc_z_rms_norm_lag2,0.002887026
s7_gyro_peak_angular_vel_norm_lag1,0.0028601298
s3_gyro_peak_angular_vel_norm_lag4,0.002745086
s5_gyro_peak_angular_vel_norm_lag3,0.0026390264
s6_gyro_peak_angular_vel_norm_lag1,0.0025870348
s6_acc_z_rms_norm_absd1,0.0024948746
s3_emg_mav_norm_delta2,0.0023359694
s2_gyro_peak_angular_vel_norm_absd1,0.0022560463
s1_gyro_peak_angular_vel_norm_lag4,0.0022302507
s7_gyro_peak_angular_vel_norm_lag3,0.0022211631
s6_gyro_peak_angular_vel_norm_lag3,0.002199
s6_gyro_peak_angular_vel_norm_lag2,0.0021535393
s1_acc_z_rms_norm_delta2,0.0021281778
s6_gyro_peak_angular_vel_norm_lag4,0.0020895156
s5_gyro_peak_angular_vel_norm_lag2,0.0020594876
s3_gyro_peak_angular_vel_norm_lag2,0.0020155513
s4_emg_mav_norm_delta2,0.001989612
s5_gyro_peak_angular_vel_norm_delta2,0.0018805421
s7_gyro_peak_angular_vel_norm_lag2,0.0018584953
s1_gyro_peak_angular_vel_norm_delta1,0.0018254111
s1_acc_z_rms_norm_delta1,0.0017629159
s8_gyro_peak_angular_vel_norm_lag2,0.001748666
s5_gyro_peak_angular_vel_norm_delta1,0.0016535153
s8_gyro_peak_angular_vel_norm_delta1,0.0015961033
s6_acc_z_rms_norm_delta1,0.0015317835
s2_gyro_peak_angular_vel_norm_lag1,0.0015202346
s8_gyro_peak_angular_vel_norm_lag1,0.0014964493
s2_gyro_peak_angular_vel_norm_lag3,0.0013479167
s6_emg_mav_norm_delta1,0.0012658744
s7_acc_z_rms_norm_delta1,0.0011137452
s4_acc_z_rms_norm_delta1,0.0010714622
s8_acc_z_rms_norm_delta1,0.0010464422
s4_acc_z_rms_norm_delta2,0.0010162737
s2_gyro_peak_angular_vel_norm_lag2,0.0010002922
s1_emg_mav_norm_delta1,0.00097625895
s4_gyro_peak_angular_vel_norm_delta1,0.00089834334
s3_acc_z_rms_norm_delta1,0.0008788153
s3_emg_mav_norm_delta1,0.00083196524
s7_gyro_peak_angular_vel_norm_delta1,0.00082448515
s8_acc_z_rms_norm_delta2,0.000809849
sym_ratio_emg_26_symdelta,0.0007987299
s2_gyro_peak_angular_vel_norm_lag4,0.00079544616
s5_emg_mav_norm_delta1,0.0007629286
s6_gyro_peak_angular_vel_norm_delta1,0.0006837795
sym_ratio_emg_15_symdelta,0.0006681155
s2_acc_z_rms_norm_delta2,0.0006649898
s7_acc_z_rms_norm_delta2,0.00059365586
s2_gyro_peak_angular_vel_norm_delta1,0.00057264237
s7_emg_mav_norm_delta1,0.00056414126
s2_gyro_peak_angular_vel_norm_delta2,0.00055538485
s8_emg_mav_norm_delta2,0.00052254705
s3_acc_z_rms_norm_delta2,0.00049106235
s5_emg_mav_norm_delta2,0.00047846267
s6_gyro_peak_angular_vel_norm_delta2,0.00042018163
s1_emg_mav_norm_delta2,0.00040788497
s3_gyro_peak_angular_vel_norm_delta1,0.000397087
s5_acc_z_rms_norm_delta2,0.00037661535
s3_gyro_peak_angular_vel_norm_delta2,0.00035401477
s2_emg_mav_norm_delta2,0.0003345109
s6_emg_mav_norm_delta2,0.00029609996
s7_gyro_peak_angular_vel_norm_delta2,0.00026800905
s7_emg_mav_norm_delta2,0.00021743102
s8_gyro_peak_angular_vel_norm_delta2,0.00017268001
s1_gyro_peak_angular_vel_norm_delta2,0.00015343416
